Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
26772868,Eine Weihnachtsgeschichte. Charles Dickens: (Klassiker Der Kinderliteratur): Mit Den Illustrationen Von Arthur Rackham,Charles Dickens,"Dickens, Charles",,"=""1517101263""","=""9781517101268""",2,4.07,Createspace Independent Publishing Platform,Paperback,96,2015,1843,2018/01/13,2018/01/13,"2018, audiobook, audible","2018 (#2), audiobook (#63), audible (#20)",read,"Die Geschichte als Buch erstreckt sich über 100 Seiten. Als Hörbuch sind es fast dreieinhalb Stunden. Mehrfach war ich während des hören abgelenkt ohne jedoch groß was zu verpassen.<br/>Die Geschichte ist okay und auch durch die Verfilmung gut bekannt, aber auch nichts besonderes.",,,1,,,0,,,,,
77270,The Jungle Book,Rudyard Kipling,"Kipling, Rudyard",,"=""0812504690""","=""9780812504699""",2,3.91,Tor Classics ,Paperback,277,1992,1894,2018/01/07,2018/01/04,"2018, audiobook, audible","2018 (#1), audiobook (#62), audible (#19)",read,"Neben der Geschichte von Mowgli, Baloo und Co. gibt es noch Geschichten über weitere Tiere (Seehund & Mungo). Leider sind diese noch weniger unterhaltsam als die durch Disney bekannte.",,,1,,,0,,,,,
32738672,Unfu*k Yourself: Get Out of Your Head and Into Your Life,Gary John Bishop,"Bishop, Gary John",,"=""""","=""""",3,3.85,,Kindle Edition,221,2016,2016,2018/02/17,2018/02/10,"2018, audiobook, english, audible","2018 (#10), audiobook (#66), english (#12), audible (#18)",read,"Cover buy, der irische Akzent war okay, die Energie des Vorlesers tat dem Buch gut. <br/>Gut gefallen hat mir, dass er hier keine esoterischen ""Es liegt nicht an Dir Snowflake"" Sprüche gab. Trotzdem war ich froh als das Hörbuch zu Ende war.<br/><br/>Seine sieben ""assertions""<br/>- I'm willing (negative Gedanken haben negativen Einfluss, sich nicht verrückt machen und akzeptieren ist der erste Schritt)<br/>- I'm wired to win (Du hast im Leben schon soviel erreicht)<br/>- I got this (Rückschläge sind auch ein Erfolg)<br/>- I braise the uncertainty (Werde aktiv und begib Dich ausserhalb der Komfortzone)<br/>- I'm not my toughts (Nicht Gedanken sondern Taten definieren uns)<br/>- I'm what I do<br/>- I'm relentless (Blieb dran, einen Schritt nach dem anderen ohne aufzugeben)<br/>- I expect nothing and accept everything<br/>- You will die (Also fang an)<br/><br/>Was ich vermisst habe<br/>- Wie behalte ich mir nach dem erreichen meiner Ziele den Tatendrang ohne mich teilweise unbegründet bekloppt zu machen. Denn meistens bin ich teilweise grundlos umtrieben vom Gedanken was erledigen bzw. erreichen zu müssen.<br/><br/>Aber im Grunde hat er recht, ich verschiebe Sachen auf später, nutze ausreden und versuche auf den idealen Moment zu warten bzw. diesen zu planen. Sicherlich wird sich dies nicht von jetzt auf gleich für alle Situationen ändern aber hoffentlich für den großteil.",,,1,,,0,,,,,
21480734,Dataclysm: Who We Are (When We Think No One's Looking),Christian Rudder,"Rudder, Christian",,"=""0385347375""","=""9780385347372""",3,3.74,Crown,Hardcover,304,2014,2014,2018/06/02,2018/02/16,"2018, audiobook, english, audible","2018 (#12), audiobook (#68), english (#13), audible (#17)",read,"Als Hörbuch an einigen Stellen nur mässig geeignet da alle Tabellen komplett vorgelesen werden.<br/>Fing sehr spannend an, aber als der Bezug zu Twitter wechselte hab ich den roten Faden ein wenig verloren und war am Ende froh dass es zu Ende war. <br/><br/>Besonders in Erinnerung bleibt mir der versteckte Rassismus aller Ethnien und noch viel spannender empfand ich die Passage über die Blind Date Experimente auf okcupid und der Mobil App Crazy Blinddate. Zufrieden Menschen nach den Dates aber deutlich reduziertes Schreiben und nach Wiederherstellung der bilder auf okcupid, Abbruch der Kommunikation.<br/><br/>Obwohl es auch gegen Ende noch einmal ein paar A-Ha Momente gab, befürchte ich dass ich das meiste zu schnell vergessen werde. Ein weiteres mal lesen ist nur leider auch keine Option.",,,1,,,0,,,,,
31170730,Mirror,Karl Olsberg,"Olsberg, Karl",,"=""374663234X""","=""9783746632346""",4,3.72,Aufbau Taschenbuch,Paperback,400,2016,,2018/03/05,2018/03/03,"2018, audiobook, audible","2018 (#16), audiobook (#71), audible (#16)",read,"Solides Buch, ggf. sind vier Sterne ein bisschen optimischtisch, aber schon alleine auf Grund der Thematik und der Geschwindigkeit mit der ich die Geschichte verschlungen habe, geht das sicherlich in Ordnung.<br/><br/>Die Protagonisten machen Spaß und durch die unterschiedlichen Schauplätze die im Verlauf der Geschichte zusammen finden, wird es nie langweilig.<br/><br/>Die Geschichte ist sicherlich nicht so lustig wie Qualityland und kommt von der technischen Tiefe nicht an Daniel Suarez Daemon Reihe heran, ist aber definitiv das bessere ""The Circle"", ganz besonders gegen Ende.<br/><br/>Einige Kleinigkeiten die ich noch in der Geschichte erwähnt hätte, bzw. anders gemacht hätte: <br/>- Die Stimme der Personen wird durch den Mirror zu 100% nachgeahmt. Nun nehmen wir unsere eigene Stimme selbst anders wahr als umliegende Menschen...<br/>- Als der Geheimdienst sich entscheidet das Mirror Net abzuschalten und noch mit den zuständigen Vorständen diskutiert. Halte ich für abwegig.<br/>- Wieso haben die Amis gegen Ende einen Minister, hier hätte Karl Olsberg auch bei Senator oder ähnlichem bleiben können.",,,1,,,0,,,,,
307414,Undercover Sex Signals: A Guide For Guys,Leil Lowndes,"Lowndes, Leil",,"=""0806527935""","=""9780806527932""",2,3.65,Citadel,Paperback,256,2006,2006,2018/05/05,2018/03/05,"2018, audiobook, english, audible","2018 (#22), audiobook (#75), english (#18), audible (#15)",read,"Nachdem ich von ihrem Buch 'how to talk to anyone' so begeistert war war dieses Buch eher ein Flop. Zwar erfährt man einiges über ihr Leben und einige Tipps sind auch gut, hängen bleiben aber die ständigen Wiederholungen wie versiert Frauen im Körpersprache lesen sind, etc..<br/>Das Buch hat große Ähnlichkeiten mit den unseriösen Pickup Büchern und das obwohl bei Leil sicherlich mehr Fundament vorhanden ist. Alleine die Empfehlungen unterschwellig Vermögen zu signalisieren sind eher peinlich. Und später im Buch widerspricht sie sich selbst.<br/>Die Sprache soll vermutlich das ganze aufpeppen, ist aber als fremdsprachiger Leser eine kleine Zusatzherausforderung und die flapsige Art passt einfach nicht.<br/>Positiv sind sicherlich einige Studien auf die sie verweist und die Anregung einfach zu machen. Trotzdem hätte man das ganze auf 50 Seiten ohne Verlust von Inhalt herausbringen können.<br/>",,,1,,,0,,,,,
35957989,Cesar Millan's Guide to Audiobooks for Dogs,Cesar Millan,"Millan, Cesar",,"=""""","=""""",3,3.27,Audible,Audible Audio,1,2017,,2018/05/04,2018/05/04,"2018, audiobook, english, audible","2018 (#23), audiobook (#76), english (#16), audible (#13)",read,"Hatte erwartet dass das Hörbuch eher ein Joke ist, aber dem Hund den Stress zu nehmen, wenn er alleine ist, war interessant. Leider zu viel Werbung für Amazon Echo und audible, aber was solls.",,,1,,,0,,,,,
35989481,Cesar Millan's Guide to Bringing Home a Shelter Dog,Cesar Millan,"Millan, Cesar",,"=""""","=""""",3,3.69,Audible Studios,Audible Audio,,2017,2017,2018/05/04,2018/05/04,"2018, audiobook, english, audible","2018 (#24), audiobook (#77), english (#17), audible (#12)",read,Kurz aber Aufschlussreich,,,1,,,0,,,,,
25755673,Sterneninvasion (Alien Wars #1),Marko Kloos,"Kloos, Marko",,"=""""","=""9783453316737""",1,4.02,Heyne,Paperback,444,2015,2013,2018/06/10,2018/06/09,"2018, audiobook, abgebrochen, audible","2018 (#32), audiobook (#81), abgebrochen (#7), audible (#10)",read,"Habe das Hörbuch gratis bei audible erhalten und lange Zeit vor mir hergeschoben.<br/>Bin eigentlich ein Freund von SciFi und die Bewertungen sind recht gut. Warum eigentlich? Denn das Bich/Hörbuch ist kompletter Müll. Hab es nach zirak 40% aufgegeben und dass obwohl ich ungern mittendrin abbreche. Aber die ""Story"" beginnt ohne Zeitangabe (geht aus dem Klappentext hervor, aber ansonsten nirgends) mit einer unsympathischen Hauptfigur und seiner Grundausbildung. Sowohl die Beschreibung als auch die Stimme des Vorlesers sind unterirdisch.",,,1,,,0,,,,,
26156469,Never Split the Difference: Negotiating As If Your Life Depended On It,Chris Voss,"Voss, Chris",Tahl Raz,"=""0062407805""","=""9780062407801""",4,4.37,Harper Business,Hardcover,274,2016,2016,2018/07/12,2018/07/03,"2018, english, audiobook, audible","2018 (#34), english (#20), audiobook (#83), audible (#9)",read,"Verhandlungen jeder Art von einem ehemaligen Unterhändler des FBI erklärt zu bekommen war faszinierend. Viele seiner zitierten Studien waren bekannt aber nicht unbedingt in diesem Kontext. Bei einigen Stellen bei denen es um die Rückmeldung des Handelspartners geht, stellt sich die Frage ob es im deutschen auch funktioniert. Letztlich hilft nur Übung, nach einmaligem lesen ist sicherlich niemand ein deutlich besserer Händler.",,,1,,,0,,,,,
